,QuoteRef,Channel,Product,Smoker,Joint?,Person1 Age,Term,TotalPremium,NBC,Sold,JF (Score),WGB (No. of other addresses held),X (Months same person on ER at current address),EF (No. of people not same surname at current address),NOB (Property group),URB (Income group),LSB (Regional banded house price band),BB (Number of CCJs),ND (Months since last CCJ)
1322,TQJW-80,CTM,Level,Y,Y,50,30,36.02,880.56,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1323,SSUM-46,CTM,Level with CI,N,Y,39,10,11.64,327.9,N,564,7,22,19,22,5,6,0,-999997
1324,RTAA-99,Direct,Decreasing with CI,N,N,49,20,11.64,327.9,N,564,7,22,19,22,5,6,0,-999997
1325,HZND-38,Direct,Level with CI,Y,Y,54,25,11.76,361.95,N,564,7,22,19,22,5,6,0,-999997
1326,NKWH-18,CTM,Level with CI,Y,N,50,10,112.86,2347.35,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1327,NMIM-35,MSM,Level with CI,Y,N,44,20,105.53,2196.85,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1328,IPCW-21,Direct,Level,Y,Y,61,30,9.1,265.72,N,566,9,-999997,30,1,1,2,0,-999997
1329,TXKY-99,MSM,Decreasing with CI,Y,Y,45,30,5.36,163.21,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1330,XAUZ-62,CTM,Decreasing with CI,Y,Y,56,20,46.38,1171.76,N,545,3,-999997,28,20,6,10,0,-999997
1331,UESC-97,CTM,Level,Y,N,49,20,18.38,371.56,N,568,7,-999997,12,6,3,4,0,-999997
1332,VOXJ-69,CTM,Decreasing accelerated,Y,Y,39,10,18.38,371.56,N,568,7,-999997,12,6,3,4,0,-999997
1333,BMUJ-22,CTM,Decreasing,Y,Y,44,30,18.38,371.56,N,568,7,-999997,12,6,3,4,0,-999997
1334,KHVZ-52,CTM,Level with CI,Y,Y,36,5,14.43,364.93,N,509,NULL,-999997,-999997,1,1,1,-999997,NULL
1335,DBRV-38,Direct,Decreasing with CI,Y,N,40,30,14.43,364.93,N,509,NULL,-999997,-999997,1,1,1,-999997,NULL
1336,HFFE-94,CTM,Level with CI,N,N,42,5,73.64,2149.87,N,564,0,40,3,1,1,1,0,-999997
1337,WFHU-94,MSM,Decreasing,N,N,35,30,14.95,386.6,N,564,0,40,3,1,1,1,0,-999997
1338,KYGN-23,CTM,Level,Y,N,47,20,38.59,998.26,N,564,0,40,3,1,1,1,0,-999997
1339,ACTX-65,MSM,Level with CI,Y,Y,43,30,14.95,386.6,N,564,0,40,3,1,1,1,0,-999997
1340,RKUG-42,CTM,Level,Y,N,33,20,55.15,1481.1,N,549,6,-999997,11,15,6,5,0,-999997
1341,KWKS-73,MSM,Level,N,N,50,20,55.15,1481.1,N,549,6,-999997,11,15,6,5,0,-999997
1342,QUYI-83,CTM,Level,N,Y,44,20,24.1,502.64,Y,581,4,48,6,13,4,2,0,-999997
1343,CYWX-92,Direct,Decreasing with CI,Y,Y,19,30,24.1,502.64,Y,581,4,48,6,13,4,2,0,-999997
1344,HUWL-85,Direct,Level with CI,N,N,35,30,24.1,502.64,Y,581,4,48,6,13,4,2,0,-999997
1345,NAPC-55,Direct,Level with CI,Y,Y,45,5,24.1,502.64,Y,581,4,48,6,13,4,2,0,-999997
1346,AZCQ-33,Direct,Level,N,Y,43,20,24.1,502.64,N,581,4,48,6,13,4,2,0,-999997
1347,RJFC-16,Direct,Level,Y,N,39,20,30.01,694.3,N,570,2,-999997,7,9,2,2,0,-999997
1348,BRHT-68,CTM,Decreasing with CI,N,Y,43,20,30.01,694.3,N,570,2,-999997,7,9,2,2,0,-999997
1349,ACLN-55,CTM,Decreasing,N,N,51,15,40,926.56,N,570,2,-999997,7,9,2,2,0,-999997
1350,FDQW-88,CTM,Level,N,N,34,10,15,345.91,N,570,2,-999997,7,9,2,2,0,-999997
1351,THIP-78,MSM,Decreasing,Y,Y,42,30,35.15,878.48,Y,575,2,-999997,3,11,5,2,0,-999997
1352,RWLR-80,CTM,Level,Y,N,37,20,34.45,860.39,Y,575,2,-999997,3,11,5,2,0,-999997
1353,PQND-96,CTM,Decreasing,N,N,56,10,37.95,950.85,Y,575,2,-999997,3,11,5,2,0,-999997
1354,JNXX-39,MSM,Level with CI,N,N,34,20,36.78,920.69,Y,575,2,-999997,3,11,5,2,0,-999997
1355,GHZW-12,CTM,Level,Y,Y,38,30,35.61,890.54,Y,575,2,-999997,3,11,5,2,0,-999997
1356,MOTL-42,Direct,Decreasing with CI,Y,Y,33,30,12.35,353.11,N,539,1,-999997,4,16,6,9,0,-999997
1357,EHJQ-12,CTM,Level,Y,N,39,30,10.47,328.61,N,539,1,-999997,4,16,6,9,0,-999997
1358,KSAF-11,MSM,Level,N,N,45,10,17.75,536.78,N,539,1,-999997,4,16,6,9,0,-999997
1359,NASU-35,CTM,Level with CI,N,N,37,5,12.35,353.11,N,539,1,-999997,4,16,6,9,0,-999997
1360,JAUU-77,CTM,Level,N,N,33,5,12.35,353.11,N,539,1,-999997,4,16,6,9,0,-999997
1361,GGQA-26,MSM,Decreasing with CI,Y,Y,54,30,12.35,353.11,N,539,1,-999997,4,16,6,9,0,-999997
1362,QBUK-12,CTM,Decreasing,N,Y,43,20,12.35,353.11,N,539,1,-999997,4,16,6,9,0,-999997
1363,XJDQ-10,Direct,Decreasing with CI,N,Y,40,20,8.56,287.93,N,539,10,-999997,3,18,6,6,0,-999997
1364,JFPH-20,CTM,Decreasing with CI,Y,Y,54,20,8.56,287.93,N,539,10,-999997,3,18,6,6,0,-999997
1365,GCOU-67,CTM,Level,N,N,53,10,38.95,816.11,N,531,2,-999997,7,19,7,2,0,-999997
1366,JSBZ-12,CTM,Level,Y,Y,36,30,38.32,803.43,N,531,2,-999997,7,19,7,2,0,-999997
1367,HHJJ-42,Direct,Decreasing,Y,N,52,20,39.6,828.77,N,531,2,-999997,7,19,7,2,0,-999997
1368,NAGU-69,Direct,Level with CI,N,N,45,40,38.32,803.43,N,531,2,-999997,7,19,7,2,0,-999997
1369,GHXG-94,CTM,Decreasing,N,N,44,15,30.26,651.58,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1370,TKGY-69,CTM,Decreasing,Y,N,41,15,126.31,2740.76,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1371,KAMP-34,MSM,Level accelerated,N,N,23,30,126.31,2740.76,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1372,YGKM-48,CTM,Level,N,N,35,20,35.61,890.54,Y,575,2,-999997,3,11,5,2,0,-999997
1373,EAET-86,Direct,Level,N,N,43,10,35.61,890.54,Y,575,2,-999997,3,11,5,2,0,-999997
1374,SBQL-46,MSM,Level,Y,N,45,20,35.38,884.51,Y,575,2,-999997,3,11,5,2,0,-999997
1375,SHDF-37,MSM,Decreasing,Y,N,46,40,32.12,800.08,Y,575,2,-999997,3,11,5,2,0,-999997
1376,FBSY-25,CTM,Level accelerated,N,Y,42,30,37.95,950.85,Y,575,2,-999997,3,11,5,2,0,-999997
1377,TLLG-61,CTM,Level,Y,Y,52,10,37.46,938.81,Y,575,2,-999997,3,11,5,2,0,-999997
1378,OVOB-54,CTM,Level accelerated,N,N,39,25,40.43,1011.03,Y,575,2,-999997,3,11,5,2,0,-999997
1379,LLDM-36,CTM,Level,Y,N,45,20,37.94,1083.54,N,562,1,-999997,9,10,4,2,0,-999997
1380,HIII-35,MSM,Level with CI,N,N,32,30,14.95,386.6,N,564,0,40,3,1,1,1,0,-999997
1381,CHXC-99,MSM,Level with CI,Y,Y,50,20,29.72,914.61,N,555,1,21,9,20,6,8,0,-999997
1382,SYBN-14,CTM,Decreasing accelerated,Y,Y,46,5,26.08,791.96,N,555,1,21,9,20,6,8,0,-999997
1383,NDMJ-41,CTM,Decreasing,Y,Y,52,20,10,279.04,N,555,1,21,9,20,6,8,0,-999997
1384,RCWD-83,CTM,Level with CI,N,Y,42,20,15,421.73,N,555,1,21,9,20,6,8,0,-999997
1385,MGDP-73,Direct,Decreasing accelerated,N,Y,50,30,15,421.73,N,555,1,21,9,20,6,8,0,-999997
1386,REZI-27,MSM,Level,Y,Y,44,5,18.91,537.82,N,555,1,21,9,20,6,8,0,-999997
1387,FWLL-34,Direct,Decreasing with CI,N,N,60,20,30,849.77,N,555,1,21,9,20,6,8,0,-999997
1388,KLRG-58,MSM,Level,N,Y,56,20,18.79,546.66,N,555,1,21,9,20,6,8,0,-999997
1389,MDUD-46,CTM,Decreasing with CI,Y,N,59,20,17.58,515.17,N,555,1,21,9,20,6,8,0,-999997
1390,XTJU-71,CTM,Level,Y,N,54,30,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1391,TFZS-77,CTM,Level,N,N,57,25,55.82,1402.71,N,545,3,-999997,28,20,6,10,0,-999997
1392,COQF-14,CTM,Level,N,Y,48,30,49.38,1215.34,N,545,3,-999997,28,20,6,10,0,-999997
1393,HTFF-97,CTM,Decreasing with CI,Y,Y,34,40,49.38,1215.34,N,545,3,-999997,28,20,6,10,0,-999997
1394,KOWW-19,Direct,Decreasing with CI,Y,Y,46,35,58.82,1446.29,N,545,3,-999997,28,20,6,10,0,-999997
1395,RVQQ-88,Direct,Level accelerated,N,N,29,10,46.38,1171.76,N,545,3,-999997,28,20,6,10,0,-999997
1396,FFIP-57,MSM,Decreasing with CI,Y,N,48,20,20.01,428.27,N,556,1,49,6,21,6,6,0,-999997
1397,ONXA-75,Direct,Level,Y,N,52,20,20.06,485.01,N,556,1,49,6,21,6,6,0,-999997
1398,HEUX-84,MSM,Level with CI,N,Y,54,20,5.9,150.78,N,479,NULL,-999997,-999997,20,7,8,-999997,NULL
1399,TXLU-32,MSM,Decreasing accelerated,N,N,51,10,5.9,150.78,N,479,NULL,-999997,-999997,20,7,8,-999997,NULL
1400,WEHV-76,MSM,Decreasing,Y,N,43,30,5.9,150.78,N,479,NULL,-999997,-999997,20,7,8,-999997,NULL
1401,BGSO-50,MSM,Decreasing with CI,N,N,23,5,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1402,CXOR-30,CTM,Level,Y,Y,47,10,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1403,VHHA-94,MSM,Decreasing,N,N,47,20,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1404,SLHG-96,Direct,Level with CI,Y,N,52,40,112.51,3735.52,N,557,5,15,30,5,2,5,0,-999997
1405,DSRG-12,CTM,Level,N,N,51,30,40.28,1316.98,N,557,5,15,30,5,2,5,0,-999997
1406,BCTV-85,Direct,Level,N,N,46,40,18.79,546.66,N,555,1,21,9,20,6,8,0,-999997
1407,MZOY-23,Direct,Level,Y,N,51,30,22.43,669.31,N,555,1,21,9,20,6,8,0,-999997
1408,IKAC-43,CTM,Level,Y,Y,23,25,20,316.37,N,582,7,-999997,7,2,3,2,0,-999997
1409,ROSS-74,Direct,Level,N,N,61,30,20,360.58,N,582,7,-999997,7,2,3,2,0,-999997
1410,PWPX-44,MSM,Level with CI,Y,N,33,20,20.02,514.95,N,557,0,241,2,21,6,6,0,-999997
1411,ONYM-18,CTM,Decreasing with CI,Y,N,49,5,9.8,319.85,N,557,0,241,2,21,6,6,0,-999997
1412,HWOK-15,Direct,Level,N,N,32,5,8.09,168.64,Y,522,4,-999997,4,14,8,7,0,-999997
1413,ZHBJ-60,Direct,Level,Y,Y,42,10,8.79,183.7,Y,522,4,-999997,4,14,8,7,0,-999997
1414,LBQO-18,MSM,Decreasing,N,N,52,20,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1415,VYGJ-82,CTM,Decreasing with CI,Y,N,50,30,75.54,1473.22,N,560,4,-999997,9,9,5,2,0,-999997
1416,JKMB-28,MSM,Decreasing with CI,N,N,51,20,22.64,638.59,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1417,WRBN-59,CTM,Level,Y,N,35,20,22.64,638.59,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1418,NYJN-18,MSM,Level with CI,N,Y,54,30,20.01,428.27,N,556,1,49,6,21,6,6,0,-999997
1419,QYCC-16,Direct,Level,Y,N,45,25,28.24,574.96,N,582,1,109,1,20,5,7,0,-999997
1420,TUES-67,CTM,Decreasing,N,N,44,20,87.32,1818.04,N,582,1,109,1,20,5,7,0,-999997
1421,QFKF-21,Direct,Level,N,Y,29,5,35.1,787.39,N,578,4,-999997,0,17,6,8,0,-999997
1422,KWFQ-69,Direct,Level with CI,Y,N,29,20,20.99,410.52,N,578,4,-999997,0,17,6,8,0,-999997
1423,ARTG-89,Direct,Level,Y,N,39,20,10.87,292.74,Y,538,7,20,7,19,7,10,0,-999997
1424,HHOA-83,CTM,Level,Y,N,50,5,7.01,107.95,Y,538,7,20,7,19,7,10,0,-999997
1425,RDRT-60,Direct,Level with CI,N,N,37,30,7.01,107.95,Y,538,7,20,7,19,7,10,0,-999997
1426,JGZT-68,Direct,Level,Y,N,35,20,6.53,92.23,Y,538,7,20,7,19,7,10,0,-999997
1427,ARMY-45,Direct,Decreasing with CI,Y,N,55,10,6.44,165.09,Y,538,7,20,7,19,7,10,0,-999997
1428,MEAU-95,CTM,Level,Y,N,46,30,9.97,270.29,Y,538,7,20,7,19,7,10,0,-999997
1429,JBIO-65,CTM,Decreasing with CI,N,N,33,10,6.92,189.81,Y,538,7,20,7,19,7,10,0,-999997
1430,NQKX-87,MSM,Decreasing with CI,Y,Y,48,10,6.46,100.02,Y,538,7,20,7,19,7,10,0,-999997
1431,ZGRO-30,CTM,Decreasing accelerated,Y,N,49,15,6.82,104.87,Y,538,7,20,7,19,7,10,0,-999997
1432,EXDW-26,CTM,Level with CI,N,N,47,20,7.01,107.95,Y,538,7,20,7,19,7,10,0,-999997
1433,WJXK-61,MSM,Level,N,N,41,20,22.64,638.59,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1434,WONH-72,CTM,Level accelerated,Y,Y,52,20,24.69,595.97,Y,542,5,-999997,6,10,6,7,0,-999997
1435,IFQI-46,MSM,Level accelerated,Y,N,55,5,16.08,388.9,Y,542,5,-999997,6,10,6,7,0,-999997
1436,DXUE-62,CTM,Level,Y,Y,53,20,16.08,388.9,Y,542,5,-999997,6,10,6,7,0,-999997
1437,GZCA-90,Direct,Level with CI,N,N,46,10,34.09,796.46,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1438,HUPQ-97,Direct,Level with CI,Y,Y,41,30,20.11,567.59,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1439,IEYS-63,MSM,Decreasing,Y,N,48,25,20.11,567.59,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1440,RVAZ-72,Direct,Decreasing,Y,N,47,30,32.77,916.84,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1441,NAVA-23,Direct,Level,Y,N,41,10,21.43,601.65,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1442,VCLI-17,MSM,Level,N,Y,33,20,31.05,872.71,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1443,DRXC-78,MSM,Level with CI,Y,Y,48,10,64.98,2009.15,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1444,HWIQ-94,CTM,Level,Y,Y,48,20,34.46,935.38,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1445,QUNG-61,CTM,Decreasing with CI,Y,N,41,20,34.46,935.38,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1446,CLUU-45,CTM,Level,Y,N,47,15,34.46,935.38,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1447,GNFR-83,MSM,Level,Y,Y,49,35,30.19,850.64,N,571,6,-999997,1,{ND},{ND},-999997,0,-999997
1448,CQTV-90,Direct,Decreasing,Y,N,45,40,8.09,168.64,Y,522,4,-999997,4,14,8,7,0,-999997
1449,KTVL-93,Direct,Level,N,N,40,20,8.09,168.64,Y,522,4,-999997,4,14,8,7,0,-999997
1450,VVYJ-67,MSM,Level,N,N,54,30,9.8,205.27,Y,522,4,-999997,4,14,8,7,0,-999997
1451,MICF-75,Direct,Decreasing with CI,N,Y,64,30,31.04,652.44,N,581,3,49,6,16,5,5,0,-999997
1452,GPXW-32,Direct,Level,Y,N,40,10,6.92,125.66,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1453,IQQK-76,Direct,Decreasing with CI,Y,N,43,20,6.92,125.66,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1454,WZRW-72,CTM,Level,N,N,34,20,6.92,125.66,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1455,FTRR-42,CTM,Level,Y,Y,51,25,8.46,114.55,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1456,ZHLD-13,CTM,Level with CI,Y,N,39,20,6.77,112.25,N,569,2,-999997,6,16,3,6,0,-999997
1457,BQOY-78,MSM,Level with CI,N,Y,50,15,16.02,301.98,N,569,2,-999997,6,16,3,6,0,-999997
1458,DZJW-20,CTM,Level with CI,Y,N,32,35,21.63,414.39,N,569,2,-999997,6,16,3,6,0,-999997
1459,WPSJ-77,Direct,Decreasing,Y,Y,44,20,21.63,414.39,N,569,2,-999997,6,16,3,6,0,-999997
1460,FFJP-73,Direct,Level with CI,Y,Y,48,30,16.02,301.98,N,569,2,-999997,6,16,3,6,0,-999997
1461,MXMJ-60,CTM,Level,Y,Y,57,10,19.8,464.68,N,551,4,-999997,32,10,4,6,0,-999997
1462,ANQL-74,CTM,Decreasing with CI,N,N,38,20,131.76,2742.81,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1463,GCUP-84,CTM,Level,Y,N,48,30,22.88,617.26,Y,558,3,-999997,5,11,4,3,0,-999997
1464,QFBV-43,MSM,Level,Y,Y,46,25,28.47,747.14,Y,558,3,-999997,5,11,4,3,0,-999997
1465,OWOJ-38,MSM,Decreasing with CI,Y,N,46,20,32.62,910.6,Y,558,3,-999997,5,11,4,3,0,-999997
1466,EWTR-97,CTM,Level,N,N,39,10,25.7,682.78,Y,558,3,-999997,5,11,4,3,0,-999997
1467,NNTS-83,Direct,Level with CI,Y,N,34,20,19.66,534.05,Y,558,3,-999997,5,11,4,3,0,-999997
1468,NQZA-79,Direct,Level,Y,N,44,10,19.66,534.05,Y,558,3,-999997,5,11,4,3,0,-999997
1469,QOMH-82,Direct,Decreasing with CI,Y,N,51,20,34.09,796.46,Y,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1470,MQAE-85,CTM,Level,N,Y,54,20,13.63,423.83,N,543,0,-999997,1,23,6,10,0,-999997
1471,ONYN-29,Direct,Level,Y,N,41,20,13.63,423.83,N,543,0,-999997,1,23,6,10,0,-999997
1472,MOES-20,MSM,Level with CI,Y,Y,37,25,11.14,251.71,N,551,1,-999997,7,15,7,7,0,-999997
1473,NTRH-52,MSM,Decreasing,N,N,37,20,3.29,0,N,578,0,85,0,9,4,5,0,-999997
1474,APUV-29,MSM,Level accelerated,N,N,42,10,3.29,0,N,578,0,85,0,9,4,5,0,-999997
1475,HNJO-77,CTM,Level,N,Y,34,10,34.82,948.9,N,531,2,-999997,7,19,7,2,0,-999997
1476,QZZO-92,CTM,Decreasing,Y,N,44,10,34.82,948.9,N,531,2,-999997,7,19,7,2,0,-999997
1477,QMTE-82,CTM,Level,N,Y,37,15,33.31,894.24,N,531,2,-999997,7,19,7,2,0,-999997
1478,QHAG-50,CTM,Level,N,Y,46,30,34.42,940.31,N,531,2,-999997,7,19,7,2,0,-999997
1479,UHLB-21,Direct,Level,N,N,36,20,38.6,1085.81,N,531,2,-999997,7,19,7,2,0,-999997
1480,MPVK-37,MSM,Level,N,N,45,20,50.13,1405.26,N,531,2,-999997,7,19,7,2,0,-999997
1481,ZGHF-35,MSM,Decreasing with CI,Y,N,56,5,33.31,894.24,N,531,2,-999997,7,19,7,2,0,-999997
1482,WKCF-99,CTM,Level,Y,N,53,5,47.74,1353.74,N,531,2,-999997,7,19,7,2,0,-999997
1483,STEJ-68,CTM,Decreasing with CI,Y,Y,52,10,48.41,1443.35,Y,571,2,-999997,1,{ND},{ND},-999997,0,-999997
1484,MUBE-82,Direct,Level with CI,Y,Y,45,10,48.41,1443.35,Y,571,2,-999997,1,{ND},{ND},-999997,0,-999997
1485,GRJL-26,Direct,Decreasing,N,Y,53,20,48.41,1443.35,Y,571,2,-999997,1,{ND},{ND},-999997,0,-999997
1486,JUVW-29,MSM,Decreasing,Y,N,57,10,24.22,644.82,N,558,8,-999997,15,6,4,3,0,-999997
1487,DJOF-38,MSM,Level accelerated,N,Y,59,5,24.22,644.82,N,558,8,-999997,15,6,4,3,0,-999997
1488,LLRA-94,MSM,Level with CI,Y,N,30,15,24.22,644.82,N,558,8,-999997,15,6,4,3,0,-999997
1489,HWAL-87,Direct,Level with CI,Y,N,42,30,10,138.55,N,564,2,97,7,6,4,4,0,-999997
1490,PKXE-82,CTM,Decreasing with CI,Y,N,42,5,10,198.41,N,564,2,97,7,6,4,4,0,-999997
1491,UPIJ-76,CTM,Decreasing with CI,Y,N,39,40,24.89,626.4,N,498,NULL,-999997,-999997,23,7,10,-999997,NULL
1492,APFJ-58,Direct,Level with CI,Y,N,33,20,10.34,257.7,N,564,2,-999997,5,16,5,5,0,-999997
1493,HWIL-87,CTM,Level,N,N,53,30,8.19,192,N,564,2,-999997,5,16,5,5,0,-999997
1494,IALW-57,Direct,Level,N,N,54,20,8.19,192,N,564,2,-999997,5,16,5,5,0,-999997
1495,JWFY-58,Direct,Decreasing with CI,N,Y,32,20,8.19,192,N,564,2,-999997,5,16,5,5,0,-999997
1496,YUIL-85,CTM,Decreasing accelerated,Y,N,52,30,14.97,337.43,N,564,2,-999997,5,16,5,5,0,-999997
1497,AOOU-71,CTM,Decreasing with CI,Y,Y,47,20,8.19,192,N,564,2,-999997,5,16,5,5,0,-999997
1498,AZOH-50,Direct,Decreasing with CI,Y,N,34,20,10.34,257.7,N,564,2,-999997,5,16,5,5,0,-999997
1499,ZWEP-34,Direct,Level with CI,Y,N,44,20,47.48,1597.13,Y,579,3,109,6,14,6,3,0,-999997
1500,XCET-52,CTM,Level,Y,N,37,20,47.48,1597.13,Y,579,3,109,6,14,6,3,0,-999997
1501,CMHG-78,CTM,Decreasing with CI,N,Y,44,30,47.48,1597.13,Y,579,3,109,6,14,6,3,0,-999997
1502,HSVC-36,CTM,Decreasing,Y,N,25,5,25.48,728.22,N,519,0,21,4,13,4,9,1,36
1503,HQXZ-22,MSM,Level,Y,N,42,20,21.69,619.99,N,519,0,21,4,13,4,9,1,36
1504,FSJU-96,CTM,Decreasing,N,Y,44,20,18.97,479.87,N,519,0,21,4,13,4,9,1,36
1505,AFYK-43,CTM,Decreasing with CI,N,N,47,30,18.97,479.87,N,519,0,21,4,13,4,9,1,36
1506,BRJB-53,CTM,Level,N,N,51,15,4.07,101.28,N,539,1,21,6,21,7,2,0,-999997
1507,JYSY-21,MSM,Level with CI,Y,N,32,10,31.04,652.44,N,581,3,49,6,16,5,5,0,-999997
1508,BVPO-58,Direct,Level,N,N,60,15,18.04,409.66,N,569,7,21,4,19,5,1,0,-999997
1509,MWSN-93,Direct,Decreasing with CI,Y,N,50,5,18.04,409.66,N,569,7,21,4,19,5,1,0,-999997
1510,WOHA-93,Direct,Decreasing,N,N,46,20,15,348.23,N,569,7,21,4,19,5,1,0,-999997
1511,NYRE-73,MSM,Level,N,Y,27,20,28.3,669.5,N,567,0,-999997,5,12,3,4,0,-999997
1512,UUJD-96,MSM,Decreasing with CI,N,N,45,20,54.96,1308.02,N,567,0,-999997,5,12,3,4,0,-999997
1513,JHET-16,Direct,Decreasing,Y,Y,43,30,116.2,2798.64,N,567,0,-999997,5,12,3,4,0,-999997
1514,PYSW-96,CTM,Decreasing accelerated,Y,Y,45,5,85.58,2053.33,N,567,0,-999997,5,12,3,4,0,-999997
1515,NPHV-81,CTM,Level,Y,Y,46,5,107.91,2607.3,N,567,0,-999997,5,12,3,4,0,-999997
1516,CQNW-92,Direct,Decreasing,Y,N,57,10,28.3,669.5,N,567,0,-999997,5,12,3,4,0,-999997
1517,EXYT-22,CTM,Decreasing,Y,N,46,10,28.3,669.5,N,567,0,-999997,5,12,3,4,0,-999997
1518,PCCH-10,CTM,Level,Y,Y,51,20,46.67,1116.68,N,567,0,-999997,5,12,3,4,0,-999997
1519,RGOW-91,CTM,Decreasing,N,N,44,20,28.29,669.49,N,567,0,-999997,5,12,3,4,0,-999997
1520,YLLU-93,MSM,Level with CI,Y,N,48,15,17.28,352.3,N,569,0,61,0,18,6,10,0,-999997
1521,WQSW-92,CTM,Level,N,Y,33,30,64.85,0,N,577,3,49,6,13,3,10,0,-999997
1522,AEPW-52,CTM,Level,Y,N,50,30,43.69,0,N,577,3,49,6,13,3,10,0,-999997
1523,QNQY-30,Direct,Decreasing accelerated,Y,Y,34,20,15.29,420.4,N,538,1,21,5,23,7,10,0,-999997
1524,HSFS-44,Direct,Decreasing accelerated,N,N,44,20,15.29,420.4,N,538,1,21,5,23,7,10,0,-999997
1525,WHNE-99,Direct,Level,Y,N,44,30,7.45,192.59,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1526,SZHY-40,Direct,Decreasing with CI,Y,N,34,30,23.2,476.59,N,558,3,-999997,11,8,5,6,0,-999997
1527,RGPQ-89,CTM,Level,N,N,35,10,10.53,206.12,N,558,3,-999997,11,8,5,6,0,-999997
1528,BZGC-31,MSM,Decreasing with CI,Y,Y,45,20,10.53,206.12,N,558,3,-999997,11,8,5,6,0,-999997
1529,FPZD-38,CTM,Level with CI,N,N,52,30,184.52,4227.67,N,595,2,73,2,6,3,1,0,-999997
1530,BEFP-13,MSM,Level,Y,N,56,20,140.57,2680.21,N,595,2,73,2,6,3,1,0,-999997
1531,GEPO-37,Direct,Decreasing,Y,Y,48,30,31.62,1026.36,Y,579,3,109,6,14,6,3,0,-999997
1532,UMPF-96,CTM,Decreasing with CI,N,Y,33,25,13.42,323.65,N,538,3,-999997,8,21,6,7,0,-999997
1533,LCJP-57,MSM,Decreasing with CI,Y,N,58,5,13.42,323.65,N,538,3,-999997,8,21,6,7,0,-999997
1534,KRXD-23,Direct,Decreasing with CI,N,N,50,30,13.42,323.65,N,538,3,-999997,8,21,6,7,0,-999997
1535,PEPZ-95,Direct,Decreasing,N,Y,53,35,49.44,1203.46,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1536,FLOV-20,MSM,Level with CI,Y,Y,46,20,33.68,780.86,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1537,BUQD-40,Direct,Level,N,N,59,20,21.06,442.78,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1538,HWPT-46,CTM,Decreasing,N,N,49,25,21.06,442.78,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1539,JIOW-30,CTM,Level,Y,Y,19,10,42.58,1019.72,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
1540,RQSR-63,CTM,Level with CI,Y,N,47,30,72.41,1760.61,N,550,2,20,5,10,6,8,0,-999997
1541,RZUU-15,MSM,Level with CI,Y,Y,40,25,72.41,1760.61,N,550,2,20,5,10,6,8,0,-999997
1542,SMEI-25,Direct,Level,Y,N,44,20,78.35,2114.23,N,547,0,16,5,20,6,5,0,-999997
1543,MOSX-77,Direct,Level with CI,N,Y,49,25,78.35,2114.23,N,547,0,16,5,20,6,5,0,-999997
1544,VCAW-77,Direct,Level,N,N,44,20,89.99,2029.41,N,566,1,-999997,6,10,4,6,0,-999997
1545,PTAY-60,Direct,Level,Y,Y,34,20,40.05,1141.53,N,573,3,85,5,8,3,4,0,-999997
1546,VKJV-84,MSM,Level with CI,Y,Y,29,20,121.71,2764.17,N,9999,NULL,NULL,NULL,,,NULL,NULL,NULL
